year,location,habitat_type,value,scenario,run,performance_metric
1981,Lower Sacramento River,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Lower Sacramento River,fry rearing,467.23053429381537,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Lower Sacramento River,juv rearing,979.70299255760915,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Lower Sacramento River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Lower-mid Sacramento River,flood,15526.977203553542,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Lower-mid Sacramento River,fry rearing,3194.233215343573,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Lower-mid Sacramento River,juv rearing,6984.718424558939,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Lower-mid Sacramento River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Merced River,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Merced River,fry rearing,16590.782524021786,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Merced River,juv rearing,31580.599514347265,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Merced River,spawning,2196.833319691192,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mill Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mill Creek,fry rearing,2492.5588147214557,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mill Creek,juv rearing,4289.690867270093,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mill Creek,spawning,1087.8467027809982,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mokelumne River,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mokelumne River,fry rearing,15488.509799846148,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mokelumne River,juv rearing,25903.225358597505,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Mokelumne River,spawning,1253.2074393098692,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Paynes Creek,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Paynes Creek,fry rearing,2066.274493676311,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Paynes Creek,juv rearing,2386.5053513823154,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Paynes Creek,spawning,684.814406257299,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,San Joaquin River,flood,11255.554759850143,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,San Joaquin River,fry rearing,11918.994446945992,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,San Joaquin River,juv rearing,16327.26117942411,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,San Joaquin River,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stanislaus River,flood,155.93925600000003,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stanislaus River,fry rearing,1491.7510753756173,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stanislaus River,juv rearing,1150.7687371042957,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stanislaus River,spawning,2190.7726568856633,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stony Creek,flood,247.75008300798987,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stony Creek,fry rearing,3989.0937194184357,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stony Creek,juv rearing,5278.743525129171,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Stony Creek,spawning,1390.4463125253794,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Sutter Bypass,flood,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Sutter Bypass,fry rearing,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Sutter Bypass,juv rearing,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Sutter Bypass,spawning,0,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Thomes Creek,flood,470.13348347107444,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Thomes Creek,fry rearing,4307.646409787364,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Thomes Creek,juv rearing,7541.694314342947,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
1981,Thomes Creek,spawning,1984.6937605103503,Baseline,fall,8.1 & 8.2 Annual Wetted Acre Days
